Código BIP	Nombre Iniciativa	Sub Sector	Nombre de las fuentes	RATE	Costo Total
30129775-0	CONSERVACION LICEO COMERCIAL DE LOS ANDES	EDUCACION MEDIA TECNICO	SECTORIAL		159988
30129779-0	CONSERVACION LICEO INDUSTRIAL DE VALPARAÍSO	EDUCACION MEDIA TECNICO	SECTORIAL		115241
30130080-0	CONSERVACION LICEO INDUSTRIAL GUILLERMO RICHARD CUEVAS	EDUCACION MEDIA TECNICO	SECTORIAL		45774
30130081-0	CONSERVACION LICEO AGRÍCOLA DE SAN FELIPE	EDUCACION MEDIA TECNICO	SECTORIAL		163618
30130082-0	CONSERVACION LICEO OSCAR CORONA BARAHONA	EDUCACION MEDIA TECNICO	SECTORIAL		156291
30350993-0	PROTECCION  DE LA ACTIVIDAD ARTESANAL TRADICIONAL RAPA NUI	ARTE Y CULTURA	F.N.D.R.		274143
30065359-0	AMPLIACION FACULTAD DE CIENCIAS ECONOMICAS Y ADM UNIV. VALPAR	EDUCACION SUPERIOR	F.N.D.R.	RS	93042
30077123-0	"RESTAURACION DEL F. STA. BARBARA Y CUEVA PATR, COMUNA JUAN FERNANDEZ"	ARTE Y CULTURA	F.N.D.R.	RS	89816
30078616-0	RESTAURACION IGLESIA Y CONVENTO SAN FRANCISCO DE CURIMON	ARTE Y CULTURA	F.N.D.R.	RS	56154
30078622-0	"RESTAURACION CAPILLA LO VICUÑA, COMUNA DE PUTAENDO."	ARTE Y CULTURA	F.N.D.R.	RS	48891
30082127-0	"REPOSICION ESCUELA ARTURO ECHAZARRETA, CASABLANCA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	FI	282137
30099775-0	RESTAURACION  PALACIO VERGARA DE VIÑA DEL MAR	ARTE Y CULTURA	F.N.D.R.	RS	182553
30105536-0	HABILITACION MUSEO DEL GRABADO DOCUMENTAL PATRIMONIAL VISUAL        	ARTE Y CULTURA	F.N.D.R.	RS	100599
30126535-0	RESTAURACION NUEVE ASCENSORES DE VALPARAISO	ARTE Y CULTURA	F.N.D.R.	RS	1187478
30132683-0	REPOSICION JARDIN INFANTIL Y SALA CUNA ARCO IRIS DE VALPARAÍSO	EDUCACION PREBASICA	SECTORIAL	FI	57175
30132690-0	REPOSICION JARDIN INFANTIL Y SALA CUNA GOLONDRINA DE VALPARAÍSO	EDUCACION PREBASICA	SECTORIAL	RS	85739
30136959-0	"MEJORAMIENTO MULTICANCHAS DE 4 ESCUELAS MUNICIPALES, PETORCA"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	54453
30155872-0	RESTAURACION ETAPA DISEÑO CENTRO CULTURAL CASA LORD COCHRANE	ARTE Y CULTURA	F.N.D.R.	OT	100341
30274073-0	"HABILITACION CASA EASTMAN PARA CENTRO CULTURAL, COMUNA LIMACHE"	ARTE Y CULTURA	F.N.D.R.	OT	71200
20182193-0	"RESTAURACION CASA P. AGUIRRE CERDA Y ESCUELA AGRICOLA, CALLE LARGA."	ARTE Y CULTURA	F.N.D.R.	RS	1133833
20191423-0	CONSTRUCCION NUEVO ESTABLECIMIENTO ESCUELA SAN JOSE DE CALASANZ	EDUCACION BASICA Y MEDIA	F.N.D.R. - SECTORIAL	RS	878038
30004448-0	REPOSICION BIBLIOTECA PUBLICA  Y RADIO MUNICIPAL DE SANTA MARIA	ARTE Y CULTURA	F.N.D.R.	RS	879487
30039654-0	REPOSICION ESCUELA 21 DE MAYO DE VIÑA DEL MAR	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	1309712
30040102-0	CONSTRUCCION LICEO TECNICO PROFESIONAL	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	750942
30042302-0	REPOSICION JARDIN INFANTIL FLIPPER - VALPARAISO	EDUCACION PREBASICA	F.N.D.R.	RS	354246
30042507-0	REPOSICION JARDIN INFANTIL PENECA DE SAN FELIPE	EDUCACION PREBASICA	F.N.D.R.	RS	447199
30064308-0	REPOSICION ESCUELA MARIA LEIVA DE IBAÑEZ LAS COIMAS PUTAENDO	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	360470
30064333-0	NORMALIZACION JARDIN INFANTIL TRENCITO DE PUTAENDO	EDUCACION PREBASICA	SECTORIAL	RS	439457
30064543-0	"REPOSICION BIBLIOTECA MUNICIPAL, COMUNA SAN ANTONIO"	INTERSUBSECTORIAL EDUCACION Y CULTURA	F.N.D.R.	FI	1524275
30064998-0	"REPOSICION MUSEO MUNICIPAL DE CIENCIAS Y ARQUEOLOGIA, SAN ANTONIO"	ARTE Y CULTURA	MUNICIPAL - F.N.D.R.	RS	2569229
30069260-0	"NORMALIZACION Y AMPLIACION ESC. BASICA REPUBLICA DE FRANCIA,QUINTERO"	EDUCACION BASICA Y MEDIA	F.N.D.R.	RS	478037
30072489-0	"CONSTRUCCION CENTRO CULTURAL Y MULTIPROPOSITO, SANTA MARIA"	ARTE Y CULTURA	F.N.D.R.	RS	502309
30078248-0	"CONSTRUCCION CENTRO INTERDISCIPLINARIO DE NEUROCIENCIA, VALPARAISO"	EDUCACION SUPERIOR	F.N.D.R.	RS	3519300
30078575-0	RESTAURACION IGLESIA Y MONASTERIO DEL BUEN PASTOR DE SAN FELIPE	ARTE Y CULTURA	F.N.D.R.	RS	2611961
30078609-0	RESTAURACION SANTUARIO SANTA FILOMENA Y ENTORNO DE SANTA MARIA	ARTE Y CULTURA	F.N.D.R.	RS	1131659
30078635-0	"RESTAURACION IGLESIA LOS PERALES ,CONVENTO Y ENTORNO, COMUNA QUILPUE"	ARTE Y CULTURA	F.N.D.R.	RS	567921
30085114-0	"RESTAURACION IGLESIA SAN FRANCISCO DEL BARON, VALPARAISO"	ARTE Y CULTURA	F.N.D.R.	RS	3379575
30085586-0	CONSTRUCCION SEDE BAILE CHINO BOCO. QUILLOTA	ARTE Y CULTURA	F.N.D.R.	RS	93693
